1;"1";"2";"25"
2;"1";"6";"9"
3;"1";"224";"3"
4;"2";"11";"15"
5;"2";"19";"3"
6;"3";"6";"24"
7;"3";"11";"10"
8;"3";"289";"3"
9;"4";"5";"10"
10;"4";"6";"5"
11;"4";"11";"20"
12;"5";"5";"14"
13;"5";"11";"9"
14;"6";"1";"8"
15;"6";"25";"1"
16;"8";"1";"8"
17;"8";"2";"8"
18;"8";"4";"3"
19;"8";"11";"12"
20;"9";"1";"3"
21;"9";"13";"5"
22;"10";"5";"20"
23;"10";"11";"15"
24;"10";"372";"3"
25;"12";"5";"5"
26;"12";"6";"5"
27;"12";"11";"16"
28;"13";"3";"1"
29;"14";"3";"15"
30;"14";"12";"8"
31;"14";"13";"22"
32;"14";"14";"3"
33;"15";"2";"2"
34;"15";"7";"4"
35;"16";"2";"9"
36;"16";"13";"3"
37;"16";"7";"16"
38;"17";"6";"1"
39;"18";"6";"20"
40;"18";"11";"20"
41;"19";"2";"15"
42;"19";"3";"3"
43;"19";"13";"10"
44;"19";"426";"5"
45;"20";"5";"18"
46;"20";"6";"5"
47;"21";"1";"3"
48;"21";"12";"10"
49;"21";"13";"5"
50;"22";"6";"2"
51;"23";"1";"18"
52;"23";"2";"38"
53;"24";"5";"12"
54;"24";"6";"12"
55;"24";"253";"5"
56;"25";"1";"5"
57;"25";"2";"5"
58;"25";"14";"2"
59;"26";"1";"3"
60;"26";"2";"10"
61;"26";"3";"15"
62;"26";"152";"3"
63;"27";"1";"25"
64;"27";"3";"9"
65;"27";"434";"1"
66;"28";"5";"12"
67;"29";"1";"10"
68;"29";"13";"5"
69;"30";"5";"30"
70;"30";"11";"20"
71;"30";"281";"1"
72;"31";"4";"3"
73;"31";"6";"9"
74;"31";"8";"9"
75;"33";"5";"9"
76;"33";"11";"3"
77;"33";"236";"1"
78;"34";"17";"3"
79;"35";"11";"8"
80;"35";"372";"1"
81;"37";"18";"3"
82;"38";"5";"20"
83;"38";"6";"20"
84;"38";"11";"35"
85;"40";"6";"20"
86;"40";"11";"12"
87;"40";"240";"1"
88;"41";"5";"3"
89;"42";"7";"6"
90;"42";"1016";"1"
91;"42";"14";"2"
92;"43";"5";"5"
93;"43";"11";"15"
94;"43";"277";"5"
95;"44";"2";"20"
96;"44";"1016";"3"
97;"44";"21";"3"
98;"45";"1";"9"
99;"45";"25";"1"
100;"45";"435";"2"
101;"47";"1";"12"
102;"47";"1017";"1"
103;"47";"25";"2"
104;"48";"6";"3"
105;"49";"5";"16"
106;"49";"6";"20"
107;"49";"11";"12"
108;"50";"1";"14"
109;"50";"3";"8"
110;"50";"71";"4"
111;"51";"2";"9"
112;"51";"12";"3"
113;"52";"1";"25"
114;"52";"2";"9"
115;"52";"3";"16"
116;"53";"6";"25"
117;"53";"11";"25"
118;"53";"108";"2"
119;"54";"6";"3"
120;"54";"7";"9"
121;"55";"5";"6"
122;"55";"11";"12"
123;"56";"6";"2"
124;"56";"7";"2"
125;"58";"6";"2"
126;"58";"3";"2"
127;"61";"5";"30"
128;"61";"11";"20"
129;"61";"296";"3"
130;"62";"6";"5"
131;"63";"3";"10"
132;"63";"16";"2"
133;"64";"6";"35"
134;"64";"11";"35"
135;"64";"108";"5"
136;"65";"6";"4"
137;"65";"11";"13"
138;"65";"166";"3"
139;"66";"3";"3"
140;"67";"1";"25"
141;"67";"2";"25"
142;"68";"1";"9"
